year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2008,14/12/2008,Northbound,Light Vehicles,333,176,84,56,67,85,209,275,545,854,964,1106,1104,895,972,948,1052,945,780,534,496,464,342,227,0,0
2008,14/12/2008,Northbound,Heavy Vehicles,3,1,4,5,4,1,6,7,11,8,15,15,12,11,8,9,12,10,3,3,11,4,2,1,0,0
2008,14/12/2008,Southbound,All Vehicles,414,231,135,126,71,124,213,326,526,823,947,1182,1281,1199,1124,1190,1402,1376,1137,831,647,627,524,268,0,0
2008,14/12/2008,Northbound,All Vehicles,336,177,88,61,71,86,215,282,556,862,979,1121,1116,906,980,957,1064,955,783,537,507,468,344,228,0,0
2008,15/12/2008,Northbound,Heavy Vehicles,,8,5,10,11,27,90,94,97,91,96,82,72,63,55,56,27,16,21,14,9,3,5,,0,0
2008,15/12/2008,Northbound,Light Vehicles,81,41,21,18,77,346,1328,2294,2613,1610,1097,1076,976,933,982,1098,1129,1334,1210,738,429,447,364,158,0,0
2008,15/12/2008,Southbound,Light Vehicles,115,77,50,40,83,260,715,1153,1267,1241,1040,1170,1112,1179,1300,1679,2008,2403,2087,1214,703,629,573,280,0,0
2008,15/12/2008,Southbound,Heavy Vehicles,4,3,1,6,8,22,50,36,53,77,74,79,84,66,67,76,63,42,31,25,7,10,10,3,0,0
2008,15/12/2008,Northbound,All Vehicles,81,49,26,28,88,373,1418,2388,2710,1701,1193,1158,1048,996,1037,1154,1156,1350,1231,752,438,450,369,158,0,0
2008,15/12/2008,Southbound,All Vehicles,119,80,51,46,91,282,765,1189,1320,1318,1114,1249,1196,1245,1367,1755,2071,2445,2118,1239,710,639,583,283,0,0
2008,17/12/2008,Southbound,Heavy Vehicles,5,5,6,9,5,18,44,45,51,58,61,93,74,86,68,73,70,48,33,13,6,7,6,3,0,0
2008,17/12/2008,Northbound,Light Vehicles,109,53,20,31,81,350,1398,2379,2607,1749,1239,1078,1013,1049,1006,1115,1130,1366,1248,770,541,461,464,289,0,0
2008,17/12/2008,Northbound,Heavy Vehicles,2,6,8,15,12,24,88,105,92,82,86,91,66,61,67,59,35,25,15,12,8,10,3,4,0,0
2008,17/12/2008,Southbound,Light Vehicles,235,97,79,51,66,273,737,1129,1244,1122,1052,1209,1251,1200,1396,1738,1969,2424,2287,1244,754,773,689,432,0,0
2008,17/12/2008,Southbound,All Vehicles,240,102,85,60,71,291,781,1174,1295,1180,1113,1302,1325,1286,1464,1811,2039,2472,2320,1257,760,780,695,435,0,0
2008,17/12/2008,Northbound,All Vehicles,111,59,28,46,93,374,1486,2484,2699,1831,1325,1169,1079,1110,1073,1174,1165,1391,1263,782,549,471,467,293,0,0
2008,18/12/2008,Southbound,Light Vehicles,209,128,78,65,89,260,758,1081,1243,1135,1125,1208,1317,1157,1438,1694,2050,2397,2002,1206,858,870,765,458,0,0
